u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
288991681,6176166201,644821243,unclassified,2.0,巧翔街 Hau Cheung Street,False,True,10.350729468192355,,,,,,,,,"LINESTRING (114.1660122 22.3115988, 114.1659949 22.3116905)",edge,0,False,0.0,,1.120815998927357
288991682,7597784320,813377861,service,,,False,False,10.034358235994423,,,,,,,,,"LINESTRING (114.1660558 22.3111074, 114.1659715 22.311062)",edge,0,False,0.0,,-1.742134228069378
288991682,6039377373,815308416,unclassified,2.0,巧翔街 Hau Cheung Street,False,True,17.053356492844998,,,,,,,,,"LINESTRING (114.1660558 22.3111074, 114.166051 22.3112607)",edge,0,False,0.0,,1.2080957465280078
288991740,2868161557,30149029,tertiary,4.0,海泓道 Hoi Wang Road,True,False,20.663321183655004,,,,,,,,,"LINESTRING (114.1634379 22.3175178, 114.1633558 22.3176874)",edge,38,True,0.0,,-4.8100300185946505
288991741,6364822864,30149029,tertiary,4.0,海泓道 Hoi Wang Road,True,False,16.467976321016582,,,,,,,,,"LINESTRING (114.1631184 22.3179372, 114.1629848 22.3180188)",edge,38,True,0.0,,0.5115231286713426
288991742,2086704742,30148520,primary,4.0,櫻桃街 Cherry Street,True,False,45.580703758968696,,,,,,,,,"LINESTRING (114.1627874 22.3181394, 114.1623562 22.318045)",edge,75,True,0.0,,-0.8589402273040719
288991742,1182677912,254563727,tertiary,4.0,海泓道 Hoi Wang Road,True,False,11.776244745761252,,,,,,,,,"LINESTRING (114.1627874 22.3181394, 114.1626949 22.3182018)",edge,38,True,0.0,,-3.7073635354701313
288991776,3230279162,314015119,tertiary,3.0,海泓道 Hoi Wang Road,True,False,30.853779819632237,,,,,,,,,"LINESTRING (114.1634229 22.3180822, 114.16348 22.3178098)",edge,38,True,0.0,,-0.9067413281752013
288991777,288991776,102411833,tertiary,3.0,海泓道 Hoi Wang Road,True,False,25.964659929608587,,,,,,,,,"LINESTRING (114.1633531 22.3183066, 114.1634229 22.3180822)",edge,38,True,0.0,,-4.442729131552792
288991796,1168066109,151226332,primary,3.0,塘尾道 Tong Mi Road,True,False,8.466498821691404,intersection,,,,,,,,"LINESTRING (114.1660608 22.318712, 114.1660433 22.3187864)",edge,145,True,0.0,,-0.35882302629079
288991796,9553739297,970635262,primary,3.0,櫻桃街 Cherry Street,True,False,53.14322298493077,,,,,,,,,"LINESTRING (114.1660608 22.318712, 114.1655445 22.3186949)",edge,75,True,1.0,,0.574125034603607
288991859,4353561377,26379462,secondary,2.0,櫻桃街 Cherry Street,True,False,55.51867167053743,,,,,,,,,"LINESTRING (114.1638166 22.318719, 114.1643554 22.3187482)",edge,75,True,0.0,,-1.5848465574066468
288991960,288991859,26379462,secondary,2.0,櫻桃街 Cherry Street,True,False,32.94032682060565,,,,,,,,,"LINESTRING (114.1634965 22.3187106, 114.1638166 22.318719)",edge,75,True,0.0,,-9.242895278784614
288991961,1640472777,26379462,secondary,2.0,櫻桃街 Cherry Street,True,False,17.888536450431932,,,,,,,,,"LINESTRING (114.1630542 22.3188051, 114.1632115 22.3187365)",edge,75,True,0.0,,5.398820506438224
288991961,4858602289,30149010,primary,3.0,海泓道 Hoi Wang Road,True,False,6.354452769482486,circular,,,,,,,,"LINESTRING (114.1630542 22.3188051, 114.163102 22.3187689)",edge,38,True,0.0,,1.7906819813753343
288992106,1640472750,26379514,secondary,2.0,櫻桃街 Cherry Street,True,False,60.26020343275955,,,,,,,,,"LINESTRING (114.1609176 22.3176958, 114.161463 22.3178936)",edge,75,True,0.0,,-12.033705776037952
288994875,1640472834,151226318,secondary,,博文街 Pok Man Street,True,False,8.436759060634454,traffic_signals,,,,,,,,"LINESTRING (114.1598754 22.3194714, 114.1599574 22.319473)",edge,4,True,0.0,,1.2517463390524266
